ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10136,1990,0,0,0,0,0,0,0,0,0,0
10137,1990,28,28,28,28,28,28,28,28,28,28
10138,1990,0,0,0,0,0,0,0,0,0,0
10139,1990,0,0,0,0,0,0,0,0,0,10
10140,1990,0,0,0,0,0,0,0,0,0,0
10141,1990,30,18,20,30,30,15,10,22,22,25
10142,1990,30,0,0,7,23,0,0,0,22,0
10143,1990,19,19,19,19,19,19,19,19,19,19
10144,1990,13,33,0,12,15,28,36,8,20,17
10145,1990,0,0,0,0,0,0,0,0,0,0
10146,1990,21,0,27,20,0,0,12,20,25,10
10147,1990,0,0,0,0,0,0,0,0,0,0
10148,1990,0,0,0,0,0,0,0,0,0,0
10149,1990,28,28,28,28,28,28,28,28,28,28
10150,1990,0,0,0,0,0,0,0,0,0,0
10151,1990,0,0,0,0,0,0,0,0,0,0
10152,1990,20,20,20,20,20,20,20,20,20,20
10153,1990,0,0,0,0,0,0,0,0,0,0
10154,1990,20,20,20,20,29,20,20,20,20,20
10155,1990,20,20,20,20,20,20,20,20,20,20
10156,1990,9,9,9,9,9,9,9,9,9,9
10157,1990,8,13,0,0,0,0,17,0,0,0
10158,1990,0,0,0,0,16,0,0,0,0,0
10159,1990,22,28,19,19,19,19,19,22,19,19
10160,1990,24,24,24,24,24,24,24,24,24,24
10161,1990,10,7,20,21,20,12,9,19,4,19
10162,1990,30,14,0,5,11,14,0,0,0,5
10163,1990,18,8,0,18,8,31,0,0,18,8
10164,1990,0,0,11,0,16,9,0,0,0,0
10165,1990,16,18,16,16,21,16,16,18,17,23
10166,1990,0,0,0,0,0,0,0,0,0,0
10167,1990,0,0,0,0,0,0,0,0,0,0
10168,1990,0,0,0,0,0,0,0,0,0,0
10169,1990,0,0,0,0,0,0,0,0,0,0
10170,1990,19,19,19,19,19,19,19,19,19,19
10171,1990,13,13,13,13,13,13,13,13,13,13
10172,1990,17,17,17,17,17,17,17,17,17,17
10173,1990,14,14,14,14,14,14,14,14,14,14
10174,1990,0,0,0,0,0,0,0,0,0,0
10175,1990,0,0,0,0,0,0,0,0,0,0
10176,1990,33,33,33,33,33,33,33,33,33,33
10177,1990,0,0,0,0,0,0,0,0,0,0
10178,1990,0,0,0,0,0,0,0,0,0,0
10179,1990,32,0,0,21,17,0,0,0,0,0
10180,1990,0,0,24,18,15,0,0,30,0,0
10181,1990,0,0,0,0,0,0,0,0,0,0
10182,1990,16,10,24,17,25,16,27,29,13,16
10183,1990,0,0,0,0,0,0,0,0,18,0
10184,1990,0,0,0,0,0,0,0,0,0,0
10185,1990,9,12,0,0,12,11,18,5,16,0
10186,1990,8,0,0,22,0,0,34,0,10,0
10187,1990,0,0,0,0,0,0,0,0,0,0
10188,1990,30,25,14,4,7,0,16,14,22,0
10189,1990,0,0,0,0,0,0,2,0,0,0
10190,1990,0,31,0,24,20,31,26,0,11,0
10191,1990,7,0,25,15,12,29,22,3,0,0
10192,1990,0,0,0,0,0,0,0,0,0,0
10193,1990,43,43,43,43,43,43,43,43,43,43
